category_id,category_name_th,category_name_en,subcategory_id,subcategory_name_th,subcategory_name_en,type_name_th,type_name_en,meta_type,tag_type_id,required,tag_name_th,tag_name_en,keywords
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,โมเดิร์น,Modern,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,ลอฟท์,Loft,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,อินดัสเทรียล,Industrial,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,วินเทจ,Vintage,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,ร่วมสมัย,Contemporary,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,ทรอปิคอล,Tropical,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,โอเรียนทัล,Oriental,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,รัสติค,Rustic,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,ล้ำอนาคต,Futuristic,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,คลาสสิค,Classic,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,เรโทร,Retro,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,พื้นถิ่น,Traditional,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,ลักซ์ชูรี,Luxury,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สไตล์,Style,adj,3,0,โมเดิร์น เจแปนนิส,Modern Japanese,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,การประกอบ,Assemble,adj,5,0,น็อคดาวน์,Knockdown,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,การประกอบ,Assemble,adj,5,0,บิวท์อิน,Built-in,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,การประกอบ,Assemble,adj,5,0,สำเร็จรูป,Loose,
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีขาว,white-color,"ขาว,สีขาว,white,white color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีเทา,gray-color,"เทา,สีเทา,gray,gray color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีดำ,black-color,"ดำ,สีดำ,black,black color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีเงิน,silver-color,"เงิน,สีเงิน,silver,silver color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีทอง,gold-color,"ทอง,สีทอง,gold,gold color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีครีม,cream-color,"ครีม,สีครีม,cream,cream color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีแดง,red-color,"แดง,สีแดง,red,red color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีกรมท่า,navy-blue-color,"กรมท่า,สีกรมท่า,navy blue,navy blue color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีเขียว,green-color,"เขียว,สีเขียว,green,green color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีเขียวอ่อน,light-green-color,"เขียวอ่อน,สีเขียวอ่อน,light green,light green color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีชมพู,pink-color,"ชมพู,สีชมพู,pink,pink color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีเหลือง,yellow-color,"เหลือง,สีเหลือง,yellow,yellow color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีน้ำตาล,brown-color,"น้ำตาล,สีน้ำตาล,brown,brown  color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีน้ำตาลเข้ม,dark-brown-color,"น้ำตาลเข้ม,สีน้ำตาลเข้ม,dark brown,dark brown color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีน้ำตาลอ่อน,light-brown-color,"น้ำตาลอ่อน,สีน้ำตาลอ่อน,light brown,light brown color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีน้ำตาลแดง,red-brown-color,"น้ำตาลแดง,สีน้ำตาลแดง,red brown,red brown color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีส้ม,orange-color,"ส้ม,สีส้ม,orange,orange color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีฟ้า,clear-blue-color,"ฟ้า,สีฟ้า,clear blue,clear blue color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีน้ำเงิน,blue-color,"น้ำเงิน,สีน้ำเงิน,blue,blue color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีม่วง,purple-color,"ม่วง,สีม่วง,purple,purple color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,สีพาสเทล,pastel,"พาสเทล,สีพาสเทล,pastel,pastel color"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,สีหลัก (สีพื้น),main-color,adj,6,0,หลากสี,colorful,"หลากสี,หลายสี,colorful"
1,เฟอร์นิเจอร์,Loose Furniture & Built-in Furniture,79,ตู้เสื้อผ้า,Closet wardrobe,ลวดลาย/ดีไซน์,pattern/design,adj,7,0,ลายเส้นตรง,line,"ลายเส้นตรง,ลายเส้นตรง,ดีไซน์เส้นตรง,line pettern,line design"
